time (s),x1 (pixels),y1 (pixels),x2 (pixels),y2 (pixels)
0,192.969,712.436,216.879,752.23
0.03333,192.214,703.889,212.198,742.842
0.06667,191.863,699.574,210.353,738.369
0.1,191.312,694.478,207.584,733.052
0.13333,191.149,690.816,204.71,728.37
0.16667,190.783,686.747,201.965,723.325
0.2,190.34,682.54,199.838,719.27
0.23333,190.252,678.761,197.145,714.178
0.26667,190.155,675.757,195.074,710.571
0.3,189.93,672.166,193.292,706.688
0.33333,189.324,668.366,191.521,702.771
0.36667,189.259,665.112,189.017,698.459
0.4,191.018,660.836,186.575,694.374
0.43333,194.521,654.981,184.351,689.564
0.46667,197.763,649.708,182.337,684.318
0.5,202.019,644.854,179.966,679.682
0.53333,206.512,639.847,177.701,674.772
0.56667,211.479,634.484,175.955,669.483
0.6,215.312,630.781,174.712,664.529
0.63333,220.144,626.475,174.161,658.598
0.66667,224.478,622.307,176.02,652.849
0.7,228.417,618.55,178.092,646.879
0.73333,232.797,614.785,180.697,640.884
0.76667,236.736,611.336,184.077,635.101
0.8,240.421,608.224,187.312,629.725
0.83333,243.908,605.366,190.286,624.71
0.86667,247.157,602.645,194.555,619.465
0.9,251.046,599.568,199.197,613.821
0.93333,253.709,597.421,203.498,608.01
0.96667,257.689,594.78,208.405,602.5
1,262.618,593.736,212.37,597.611
1.03333,268.726,593.1,216.239,592.544
1.06667,277.236,592.285,219.653,588.048
1.1,284.08,592.396,223.825,583.542
1.13333,293.455,592.364,229.722,580.019
1.16667,301.687,593.245,236.792,576.774
1.2,309.874,594.274,244.323,573.513
1.23333,326.513,596.939,260.026,569.652
1.26667,332.738,598.062,268.388,568.82
1.3,340.372,599.204,276.969,568.815
1.33333,346.401,599.941,286.616,568.324
1.36667,351.743,600.519,296.355,568.958
1.4,351.743,600.519,296.355,568.958
1.43333,358.212,601.397,305.834,569.441
1.46667,363.528,602.138,314.791,570.394
1.5,368.953,602.604,323,571.24
1.53333,374.228,603.335,331.465,572.162
1.56667,378.976,604.018,339.465,573.183
1.6,383.14,604.469,346.8,574.237
1.63333,394.869,608.051,361.506,575.315
1.66667,402.373,611.318,368.638,576.162
1.7,410.549,615.097,374.361,576.821
1.73333,419.487,619.74,380.621,577.577
1.76667,427.72,624.007,387.139,578.538
1.8,435.98,628.872,392.56,580.398
1.83333,444.168,633.137,400.822,584.567
1.86667,451.434,637.546,410.034,588.468
1.9,458.673,642.033,417.858,593.012
1.93333,465.214,646.058,426.777,597.571
1.96667,471.15,649.575,434.421,602.653
2,476.88,652.838,442.942,607.531
2.03333,482.944,656.338,452.459,612.715
2.06667,487.968,659.396,460.901,618.254
2.1,493.055,662.241,469.47,623.076
2.13333,497.892,665.022,477.203,627.742
2.16667,502.279,667.464,484.696,632.227
2.2,506.937,670.288,492.053,636.705
2.23333,511.282,673.601,497.92,640.322
2.26667,517.105,681.289,504.578,644.39
2.3,522.412,687.145,510.94,648.235
2.33333,528.115,695.285,516.153,651.277
2.36667,533.879,702.149,521.663,654.43
2.4,539.911,710.326,526.918,657.912
2.43333,545.181,717.268,531.559,661.152
2.46667,550.62,724.056,536.805,666.436
2.5,555.958,731.077,541.294,670.386
2.53333,560.475,737.005,546.916,675.388
2.56667,564.306,741.9,551.976,681.119
2.6,569.225,747.82,556.014,685.849
2.63333,573.769,753.369,560.51,691.03
2.66667,577.476,758.073,564.459,697.631
2.7,580.6,762.01,568.788,704.075
2.73333,584.644,767.165,573.124,710.641
2.76667,587.65,771.019,577.611,718.459
2.8,590.389,774.732,581.419,724.196
2.83333,593.427,778.643,585.112,729.938
2.86667,596.1,782.259,588.553,735.673
2.9,598.571,786.365,592.455,741.89
2.93333,601.556,792.939,595.748,746.917
2.96667,605.483,799.59,599.018,751.64
3,608.763,806.614,602.213,756.234
3.03333,613.138,814.266,605.684,761.047
3.06667,616.803,820.797,608.31,764.664
3.1,620.556,827.599,611.191,768.686
3.13333,624.202,833.721,614.07,772.89
3.16667,627.339,838.789,616.544,778.215
3.2,630.763,844.328,619.539,784.192
3.23333,636.443,853.365,626.553,797.052
3.26667,639.541,858.156,629.218,802.406
3.3,641.87,862.31,631.969,807.662
3.33333,644.553,866.677,634.633,813.141
3.36667,646.705,870.509,636.774,818.098
3.4,648.921,874.192,639.36,823.635
3.43333,651.36,878.237,641.655,828.263
3.46667,653.208,881.501,643.905,832.8
3.5,653.208,881.501,643.905,832.8
3.53333,655.409,885.079,645.893,837.649
3.56667,657.107,887.979,648.268,842.522
3.6,658.723,890.931,650.477,846.394
3.63333,662.036,896.565,656.057,855.168
3.66667,663.705,899.349,658.725,858.739
